name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"4,483,000,000","1,217,000,000","1,025,000,000","1,188,200,000","1,053,300,000","910,800,000","845,700,000","947,600,000","760,600,000","721,400,000","664,700,000","725,700,000","617,500,000","623,000,000","551,800,000","685,300,000","627,900,000","606,300,000","543,900,000","616,900,000","532,600,000","483,700,000","442,200,000","532,200,000","438,000,000","454,900,000","423,000,000","510,100,000","446,600,000","455,800,000","418,300,000","519,600,000","453,100,000","440,700,000","414,300,000","505,200,000","447,000,000","436,100,000","412,000,000"
	OperatingRevenue,"4,483,000,000","1,217,000,000","1,025,000,000","1,188,200,000","1,053,300,000","910,800,000","845,700,000","947,600,000","760,600,000","721,400,000","664,700,000","725,700,000","617,500,000","623,000,000","551,800,000","685,300,000","627,900,000","606,300,000","543,900,000","616,900,000","532,600,000","483,700,000","442,200,000","532,200,000","438,000,000","454,900,000","423,000,000","510,100,000","446,600,000","455,800,000","418,300,000","519,600,000","453,100,000","440,700,000","414,300,000","505,200,000","447,000,000","436,100,000","412,000,000"
CostOfRevenue,"2,949,000,000","812,000,000","701,000,000","748,900,000","687,700,000","612,600,000","596,800,000","613,000,000","521,800,000","489,200,000","487,000,000","469,200,000","418,800,000","421,600,000","403,300,000","451,900,000","436,200,000","418,900,000","403,800,000","401,700,000","365,200,000","335,800,000","318,100,000","344,400,000","311,800,000","302,800,000","301,500,000","328,400,000","294,400,000","299,700,000","293,000,000","329,300,000","301,400,000","303,300,000","295,100,000","331,500,000","309,600,000","296,100,000","294,500,000"
GrossProfit,"1,534,000,000","405,000,000","324,000,000","439,300,000","365,600,000","298,200,000","248,900,000","334,600,000","238,800,000","232,200,000","177,700,000","256,500,000","198,700,000","201,400,000","148,500,000","233,400,000","191,700,000","187,400,000","140,100,000","215,200,000","167,400,000","147,900,000","124,100,000","187,800,000","126,200,000","152,100,000","121,500,000","181,700,000","152,200,000","156,100,000","125,300,000","190,300,000","151,700,000","137,400,000","119,200,000","173,700,000","137,400,000","140,000,000","117,500,000"
OperatingExpense,"798,000,000","244,000,000","187,000,000","203,100,000","172,700,000","165,500,000","164,700,000","158,000,000","136,100,000","141,000,000","142,800,000","143,400,000","129,900,000","123,200,000","115,500,000","124,300,000","117,000,000","114,300,000","107,000,000","107,300,000","100,900,000","96,200,000","98,200,000","89,700,000","93,200,000","93,000,000","82,200,000","86,900,000","80,900,000","88,100,000","81,400,000","78,600,000","87,600,000","87,500,000","81,100,000","88,900,000","83,700,000","86,200,000","81,800,000"
	SellingGeneralAndAdministration,"768,000,000","228,000,000","183,000,000","184,100,000","172,700,000","165,500,000","164,700,000","158,000,000","136,100,000","141,000,000","142,800,000","143,400,000","129,900,000","123,200,000","115,500,000","124,300,000","117,000,000","114,300,000","107,000,000","107,300,000","100,900,000","96,200,000","98,200,000","89,700,000","93,200,000","93,000,000","82,200,000","86,900,000","80,900,000","88,100,000","81,400,000","78,600,000","87,600,000","87,500,000","81,100,000","88,900,000","83,700,000","86,200,000","81,800,000"
	OtherOperatingExpenses,"30,000,000","16,000,000","4,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"736,000,000","161,000,000","137,000,000","236,200,000","192,900,000","132,700,000","84,200,000","176,600,000","102,700,000","91,200,000","34,900,000","113,100,000","68,800,000","78,200,000","33,000,000","109,100,000","74,700,000","73,100,000","33,100,000","107,900,000","66,500,000","51,700,000","25,900,000","98,100,000","33,000,000","59,100,000","39,300,000","94,800,000","71,300,000","68,000,000","43,900,000","111,700,000","64,100,000","49,900,000","38,100,000","84,800,000","53,700,000","53,800,000","35,700,000"
NetNonOperatingInterestIncomeExpense,"-121,000,000","-32,000,000","-30,000,000","-14,700,000","-44,100,000","-25,900,000","-25,300,000","-4,400,000","-50,400,000","-34,900,000","-36,400,000","-42,500,000","-26,400,000","-25,500,000","-32,300,000","-30,000,000","-29,900,000","-39,000,000","-24,300,000","-18,300,000","-22,600,000","-27,100,000","-22,100,000","-21,800,000","-21,700,000","-22,300,000","-22,700,000","-22,600,000","-23,000,000","-23,900,000","-35,500,000","-40,300,000","-40,400,000","-41,500,000","-40,900,000","-42,500,000","-53,600,000","-53,200,000","-53,900,000"
	InterestExpenseNonOperating,"117,000,000","32,000,000","26,000,000","31,900,000","26,900,000","25,900,000","25,300,000","20,500,000","34,400,000","34,900,000","36,300,000","30,900,000","26,400,000","25,500,000","28,100,000","30,000,000","29,900,000","27,200,000","24,300,000","22,600,000","22,600,000","22,800,000","22,100,000","21,800,000","21,700,000","22,300,000","22,700,000","22,600,000","23,000,000","23,900,000","35,500,000","40,300,000","40,400,000","41,500,000","40,900,000","42,500,000","53,600,000","53,200,000","53,900,000"
	TotalOtherFinanceCost,,,"4,000,000",,"17,200,000",,,,"16,000,000","34,900,000","100,000","11,600,000","26,400,000","25,500,000","4,200,000","0","29,900,000","11,800,000","24,300,000","18,300,000","22,600,000","4,300,000","22,100,000","21,800,000","21,700,000","22,300,000","22,700,000","22,600,000","23,000,000","23,900,000","35,500,000","40,300,000","40,400,000","41,500,000","40,900,000","42,500,000","53,600,000","53,200,000","53,900,000"
OtherIncomeExpense,"142,000,000","-14,000,000","-4,000,000","0","168,300,000","2,200,000","8,500,000","6,800,000","-22,600,000","2,200,000","-5,300,000","9,200,000","200,000","-1,400,000","-14,100,000","10,300,000","-12,100,000","-6,100,000","-6,900,000","-20,400,000","-9,200,000","2,300,000","1,000,000","1,000,000","2,700,000","3,000,000","-2,800,000","-9,500,000","-6,300,000","-2,000,000","-42,700,000","-18,200,000","-9,100,000","-4,000,000","-2,000,000","-11,100,000","-14,100,000","-20,200,000","-3,300,000"
	GainOnSaleOfSecurity,"-700,000","-15,000,000","-9,000,000",,"-6,900,000","200,000","600,000",,"5,300,000","-6,700,000","3,100,000","-300,000","3,200,000","-700,000","-1,700,000","21,900,000","-10,400,000","-1,300,000","-5,600,000","-4,400,000","-7,300,000","5,300,000",,"5,100,000","3,600,000","3,900,000",,"-3,000,000","500,000","1,900,000","3,100,000",,"-4,500,000","1,900,000",,,,,
	SpecialIncomeCharges,"183,000,000","0","1,000,000","15,100,000","175,700,000","-6,100,000","-2,700,000","-6,400,000","-1,900,000","-2,200,000","-500,000","-3,600,000","-3,000,000","0","-12,600,000","-11,800,000","-1,600,000","-4,300,000","-1,200,000","-15,300,000","-1,900,000","-3,800,000","-1,100,000","-7,500,000","-1,500,000","-500,000","-2,200,000","-6,900,000","-5,500,000","-3,600,000","-44,800,000","-10,600,000","-3,900,000","-5,400,000","-3,000,000","-6,300,000","-5,800,000","-8,200,000","-3,300,000"
		RestructuringAndMergernAcquisition,,,,,"3,000,000","5,500,000","900,000","3,000,000","1,300,000","500,000","700,000","1,200,000","3,100,000","100,000","9,700,000","7,500,000","1,400,000","100,000","1,200,000","3,500,000","100,000","3,300,000","1,100,000","5,600,000","1,800,000","600,000","1,000,000","6,000,000","5,200,000","-1,100,000","-5,600,000","7,800,000","3,500,000","5,400,000","3,000,000","5,700,000","3,600,000","5,600,000","3,500,000"
		WriteOff,,,,,"5,300,000","600,000","1,800,000","3,400,000","600,000","1,700,000","-200,000","2,400,000","-100,000","-100,000","2,900,000","4,300,000","200,000","4,200,000","0","7,500,000","1,800,000","500,000",,"1,900,000","-300,000","-100,000","1,200,000","900,000","300,000","3,500,000",,"2,800,000","400,000","0","0","600,000","2,200,000","2,600,000","-200,000"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"1,200,000","50,400,000",,,,,,,,
		GainOnSaleOfBusiness,"183,000,000","0","1,000,000","-2,000,000","184,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-16,000,000","1,000,000","4,000,000","-21,200,000","-500,000","8,100,000","10,600,000","14,900,000","-26,000,000","11,100,000","-7,900,000","13,100,000",,"-700,000","200,000","200,000","-100,000","-500,000","-100,000","-5,100,000",,"800,000","2,100,000","3,400,000","600,000","-400,000","-600,000","400,000","-1,300,000","-300,000","-1,000,000","-7,600,000","-700,000","-500,000","1,000,000","-4,800,000","-8,300,000",,
PretaxIncome,"757,000,000","115,000,000","103,000,000","221,500,000","317,100,000","109,000,000","67,400,000","179,000,000","29,700,000","58,500,000","-6,800,000","79,800,000","42,600,000","51,300,000","-13,400,000","89,400,000","32,700,000","28,000,000","1,900,000","69,200,000","34,700,000","26,900,000","4,800,000","77,300,000","14,000,000","39,800,000","13,800,000","62,700,000","42,000,000","42,100,000","-34,300,000","53,200,000","14,600,000","4,400,000","-4,800,000","31,200,000","-14,000,000","-19,600,000","-21,500,000"
TaxProvision,"153,000,000","18,000,000","10,000,000","39,100,000","85,300,000","20,600,000","-15,000,000","24,800,000","8,800,000","13,000,000","-6,900,000","8,700,000","10,900,000","2,300,000","1,000,000","6,700,000","13,700,000","49,900,000","-1,900,000","7,400,000","8,700,000","9,500,000","200,000","15,400,000","4,200,000","9,200,000","4,900,000","-90,800,000","11,200,000","-4,100,000","-14,000,000","26,200,000","6,600,000","23,300,000","-6,600,000","18,200,000","-100,000","8,000,000","-2,000,000"
NetIncomeCommonStockholders,"561,000,000","93,000,000","84,000,000","168,900,000","217,100,000","76,600,000","68,800,000","134,300,000","11,800,000","34,300,000","-8,000,000","65,700,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,700,000","9,100,000","153,700,000","31,500,000","46,500,000","-19,500,000","27,200,000","6,700,000","-19,200,000","1,500,000","19,200,000","-18,800,000","-27,400,000","-19,700,000"
	NetIncome,"604,000,000","97,000,000","93,000,000","182,400,000","231,800,000","88,400,000","82,400,000","154,200,000","20,900,000","45,500,000","100,000","65,700,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,700,000","9,100,000","153,700,000","31,500,000","46,500,000","-19,500,000","27,200,000","6,700,000","-19,200,000","1,500,000","19,200,000","-18,800,000","-27,400,000","-19,700,000"
		NetIncomeIncludingNoncontrollingInterests,"604,000,000","97,000,000","93,000,000","182,400,000","231,800,000","88,400,000","82,400,000","154,200,000","20,900,000","45,500,000","100,000","71,100,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,600,000","8,900,000","153,400,000","30,800,000","46,000,000","-19,900,000","27,000,000","6,300,000","-19,500,000","1,400,000","19,100,000","-18,800,000","-27,400,000","-19,700,000"
			NetIncomeContinuousOperations,"604,000,000","97,000,000","93,000,000","182,400,000","231,800,000","88,400,000","82,400,000","154,200,000","20,900,000","45,500,000","100,000","71,100,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,600,000","8,900,000","153,500,000","30,800,000","46,200,000","-20,300,000","27,000,000","8,000,000","-18,900,000","1,800,000","13,000,000","-13,900,000","-27,600,000","-19,500,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-100,000","0","-200,000","400,000","0","-1,700,000","-600,000","-400,000","6,100,000","-4,900,000","200,000","-200,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","100,000","200,000","300,000","700,000","500,000","400,000","200,000","400,000","300,000","100,000","100,000","0","0","0"
	PreferredStockDividends,,,,,,,,,,,"8,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"43,000,000","4,000,000","9,000,000","13,500,000","14,700,000","11,800,000","13,600,000","19,900,000","9,100,000","11,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"561,000,000","93,000,000","84,000,000","168,900,000","217,100,000","76,600,000","68,800,000","134,300,000","11,800,000","34,300,000","-8,000,000","65,700,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,700,000","9,100,000","153,700,000","31,500,000","46,500,000","-19,500,000","27,200,000","6,700,000","-19,200,000","1,500,000","19,200,000","-18,800,000","-27,400,000","-19,700,000"
BasicEPS,,"0.53","0.49","0.98","1.27","0.46","0.42","0.86","0.08","0.23","-0.05","0.45","0.22","0.34","-0.1","0.62","0.14","-0.16","0.03","0.49","0.21","0.14","0.04","0.47","0.08","0.25","0.07","1.23","0.25","0.37","-0.18","0.232","0.057","-0.164","0.013",,,,"-0.168"
DilutedEPS,,"0.52","0.49","0.97","1.26","0.45","0.41","0.85","0.08","0.23","-0.05","0.44","0.22","0.33","-0.1","0.61","0.14","-0.16","0.03","0.49","0.21","0.14","0.04","0.46","0.08","0.24","0.07","1.22","0.25","0.37","-0.18","0.232","0.057","-0.164","0.013",,,,"-0.168"
BasicAverageShares,,"175,000,000","171,000,000","171,000,000","170,500,000","167,075,141","164,088,003","156,300,000","151,267,795","146,068,025","145,663,115","145,300,000","145,145,310","145,058,230","142,149,315","133,200,000","133,123,679","132,983,262","125,713,246","125,100,000","124,951,928","124,889,681","124,819,466","124,800,000","124,809,898","124,818,241","124,753,234","124,959,350","124,233,579","125,675,676","108,333,333","117,301,370","117,321,337","117,321,337","117,321,337",,,,"117,321,337"
DilutedAverageShares,,"177,000,000","172,000,000","172,000,000","172,500,000","169,279,089","166,529,038","158,600,000","153,055,642","147,690,921","145,663,115","147,200,000","146,758,271","146,660,339","142,149,315","135,100,000","135,109,291","132,983,262","127,784,521","127,300,000","126,799,130","126,414,644","126,259,721","125,900,000","125,772,759","125,826,680","126,190,457","126,200,000","126,264,631","126,000,000","108,333,333","117,301,370","117,321,337","117,321,337","117,321,337",,,,"117,321,337"
TotalOperatingIncomeAsReported,"919,000,000","161,000,000","138,000,000","251,300,000","368,600,000","126,600,000","81,500,000","170,200,000","100,800,000","89,000,000","34,400,000","109,500,000","65,800,000","78,200,000","20,400,000","97,300,000","73,100,000","68,800,000","31,900,000","96,900,000","64,600,000","47,900,000","24,800,000","90,600,000","31,500,000","58,600,000","37,100,000","89,200,000","65,800,000","62,400,000","42,500,000","101,100,000","60,200,000","44,500,000","35,100,000","78,500,000","47,900,000","45,600,000","32,400,000"
TotalExpenses,"3,747,000,000","1,056,000,000","888,000,000","952,000,000","860,400,000","778,100,000","761,500,000","771,000,000","657,900,000","630,200,000","629,800,000","612,600,000","548,700,000","544,800,000","518,800,000","576,200,000","553,200,000","533,200,000","510,800,000","509,000,000","466,100,000","432,000,000","416,300,000","434,100,000","405,000,000","395,800,000","383,700,000","415,300,000","375,300,000","387,800,000","374,400,000","407,900,000","389,000,000","390,800,000","376,200,000","420,400,000","393,300,000","382,300,000","376,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"604,000,000","97,000,000","93,000,000","182,400,000","231,800,000","88,400,000","82,400,000","154,200,000","20,900,000","45,500,000","100,000","65,700,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,700,000","9,100,000","153,700,000","31,500,000","46,500,000","-19,500,000","27,200,000","6,700,000","-19,200,000","1,500,000","19,200,000","-18,800,000","-27,400,000","-19,700,000"
NormalizedIncome,"477,933,949.802","109,652,173.913","100,223,300.971","164,942,302.483","108,407,253.232","93,184,954.128","83,933,000","161,177,765.363","18,507,407.407","52,422,222.222","-1,798,000","69,174,812.03","31,551,173.709","49,668,615.984","-3,961,000","73,356,935.123","27,760,000","-18,540,000","7,880,000","79,393,352.601","32,893,371.758","16,429,739.777","5,654,166.667","63,821,862.872","8,330,000","28,085,929.648","10,518,840.58","159,740,000","35,166,666.667","47,805,000","7,205,000","34,090,000","13,860,000","-16,325,000","3,850,000","17,195,000","-8,141,428.571","-22,270,000","-16,506,976.744"
