name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,08/31/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,08/31/2002,06/30/2002,05/31/2002,03/31/2002,12/31/2001,09/30/2001,08/31/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,08/31/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,08/31/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"2,890,000,000","998,000,000","844,000,000","649,000,000","399,000,000","267,000,000","198,000,000","103,000,000","1,052,000,000","1,334,000,000","1,262,000,000","1,483,000,000","1,390,000,000","1,361,000,000","1,299,000,000","1,518,000,000","1,346,000,000","1,344,000,000","1,254,000,000","1,441,000,000","1,348,000,000","1,337,000,000","1,295,000,000","1,459,000,000","1,339,000,000","1,334,000,000","1,287,000,000","1,449,000,000","1,317,000,000","1,320,000,000","1,294,000,000","1,431,000,000","1,309,000,000","1,295,000,000","1,223,000,000","1,420,000,000","1,255,000,000","1,731,000,000","1,204,000,000","1,368,000,000","985,000,000","1,658,000,000","1,142,000,000","1,296,000,000","903,000,000","1,494,000,000","1,006,000,000","1,114,000,000","823,000,000","1,319,000,000","912,000,000","1,064,000,000","882,000,000","1,647,000,000","1,168,000,000","1,415,000,000","1,058,000,000","1,792,000,000","1,206,000,000","1,391,000,000","1,037,000,000","1,699,000,000","1,135,000,000","1,212,000,000","848,000,000","1,234,000,000","841,000,000","993,000,000","818,000,000","1,100,000,000","810,000,000","927,000,000","809,000,000","1,050,000,000","752,000,000","760,000,000","874,000,000","805,000,000","1,170,000,000","794,000,000","789,000,000","926,000,000","920,000,000","790,000,000","1,017,000,000","856,000,000","848,000,000","1,002,000,000","872,000,000","850,000,000","239,000,000","239,000,000","199,000,000","185,000,000","439,000,000","289,000,000","203,000,000","341,000,000","307,000,000","2,473,000,000","293,000,000","402,000,000","345,000,000","379,000,000","246,000,000","270,000,000","252,000,000","268,000,000","167,000,000","167,000,000","130,000,000","166,000,000","110,000,000","369,000,000","331,000,000","454,000,000","387,000,000","359,000,000","301,000,000"
	OperatingRevenue,"2,890,000,000","998,000,000","844,000,000","649,000,000","334,000,000","435,000,000","157,000,000","72,000,000","956,000,000","1,237,000,000","1,171,000,000","1,380,000,000","1,290,000,000","1,273,000,000","1,211,000,000","1,422,000,000","1,257,000,000","1,256,000,000","1,174,000,000","1,356,000,000","1,265,000,000","1,253,000,000","1,215,000,000","1,372,000,000","1,251,000,000","1,248,000,000","1,207,000,000","1,357,000,000","1,221,000,000","1,235,000,000","1,214,000,000","1,336,000,000","1,213,000,000","1,283,000,000","1,214,000,000","1,407,000,000","1,238,000,000","1,458,000,000","1,204,000,000","1,368,000,000","985,000,000","1,658,000,000","1,142,000,000","1,296,000,000","903,000,000","1,494,000,000","1,006,000,000","1,114,000,000","823,000,000","1,319,000,000","912,000,000","1,064,000,000","882,000,000","1,647,000,000","1,168,000,000","1,415,000,000","1,063,000,000","1,870,000,000","1,184,000,000","1,407,000,000","1,046,000,000","1,721,000,000","1,144,000,000","1,215,000,000","855,000,000","1,242,000,000","846,000,000","993,000,000","826,000,000","1,112,000,000","816,000,000","933,000,000","808,000,000","1,044,000,000","752,000,000","760,000,000","879,000,000","809,000,000","1,186,000,000","794,000,000","789,000,000","926,000,000","920,000,000","790,000,000","1,062,000,000","856,000,000","848,000,000","1,002,000,000","880,000,000","850,000,000","239,000,000","239,000,000","196,000,000","184,000,000","439,000,000","289,000,000","203,000,000","341,000,000","307,000,000","2,402,000,000","293,000,000","402,000,000","345,000,000","379,000,000","246,000,000","270,000,000","252,000,000","268,000,000","167,000,000","167,000,000","130,000,000","166,000,000","110,000,000","369,000,000","331,000,000","454,000,000","387,000,000","359,000,000","301,000,000"
CostOfRevenue,"1,300,000,000","424,000,000","378,000,000","293,000,000","205,000,000","199,000,000","218,000,000","152,000,000","525,000,000","591,000,000","566,000,000","607,000,000","594,000,000","603,000,000","578,000,000","627,000,000","600,000,000","600,000,000","566,000,000","602,000,000","596,000,000","596,000,000","578,000,000","617,000,000","598,000,000","601,000,000","585,000,000","621,000,000","601,000,000","605,000,000","590,000,000","617,000,000","607,000,000","591,000,000","577,000,000","613,000,000","598,000,000","364,000,000","765,000,000","809,000,000","631,000,000","1,035,000,000","747,000,000","783,000,000","591,000,000","941,000,000","668,000,000","698,000,000","549,000,000","1,631,000,000","374,000,000","398,000,000","577,000,000","1,922,000,000","445,000,000","500,000,000","399,000,000","1,940,000,000","453,000,000","491,000,000","640,000,000","614,000,000","426,000,000","426,000,000","310,000,000","459,000,000","324,000,000","357,000,000","305,000,000","417,000,000","322,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"892,000,000","115,000,000","119,000,000","129,000,000","156,000,000","101,000,000","95,000,000","110,000,000","130,000,000","77,000,000","72,000,000","58,000,000","172,000,000","13,000,000","272,000,000","255,000,000","353,000,000","285,700,000","265,000,000","237,000,000"
GrossProfit,"1,590,000,000","574,000,000","466,000,000","356,000,000","194,000,000","68,000,000","-20,000,000","-49,000,000","527,000,000","743,000,000","696,000,000","876,000,000","796,000,000","758,000,000","721,000,000","891,000,000","746,000,000","744,000,000","688,000,000","839,000,000","752,000,000","741,000,000","717,000,000","842,000,000","741,000,000","733,000,000","702,000,000","828,000,000","716,000,000","715,000,000","704,000,000","814,000,000","702,000,000","704,000,000","646,000,000","807,000,000","657,000,000","1,367,000,000","439,000,000","559,000,000","354,000,000","623,000,000","395,000,000","513,000,000","312,000,000","553,000,000","338,000,000","416,000,000","274,000,000","-312,000,000","538,000,000","666,000,000","305,000,000","-275,000,000","723,000,000","915,000,000","659,000,000","-148,000,000","753,000,000","900,000,000","397,000,000","1,085,000,000","709,000,000","786,000,000","538,000,000","775,000,000","517,000,000","636,000,000","513,000,000","683,000,000","488,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,581,000,000","178,000,000","283,000,000","216,000,000","223,000,000","145,000,000","175,000,000","142,000,000","138,000,000","90,000,000","95,000,000","72,000,000","-6,000,000","97,000,000","97,000,000","76,000,000","101,000,000","101,300,000","94,000,000","64,000,000"
OperatingExpense,"1,848,000,000","498,000,000","566,000,000","424,000,000","360,000,000","339,000,000","298,000,000","304,000,000","538,000,000","578,000,000","563,000,000","596,000,000","580,000,000","577,000,000","813,000,000","628,000,000","575,000,000","618,000,000","565,000,000","597,000,000","583,000,000","592,000,000","585,000,000","603,000,000","593,000,000","584,000,000","574,000,000","599,000,000","578,000,000","627,000,000","509,000,000","589,000,000","571,000,000","568,000,000","567,000,000","599,000,000","567,000,000","1,261,000,000","374,000,000","379,000,000","333,000,000","503,000,000","341,000,000","361,000,000","315,000,000","461,000,000","315,000,000","306,000,000","276,000,000","-346,000,000","548,000,000","621,000,000","308,000,000","-491,000,000","600,000,000","639,000,000","533,000,000","-518,000,000","588,000,000","616,000,000","263,000,000","781,000,000","584,000,000","553,000,000","422,000,000","593,000,000","447,000,000","467,000,000","414,000,000","543,000,000","441,000,000","793,000,000","722,000,000","4,008,000,000","-728,000,000","728,000,000","769,000,000","724,000,000","3,986,000,000","-720,000,000","728,000,000","-763,000,000","771,000,000","681,000,000","4,125,000,000","-751,000,000","750,000,000","-817,000,000","710,000,000","1,425,000,000","-149,000,000","152,000,000","150,000,000","145,000,000","1,159,000,000","-130,000,000","136,000,000","-135,000,000","-128,000,000","1,422,000,000","71,000,000","76,000,000","70,000,000","98,000,000","65,000,000","60,000,000","60,000,000","72,000,000","49,000,000","41,000,000","43,000,000","7,000,000","67,000,000","41,000,000","52,000,000","85,000,000","40,300,000","41,000,000","40,000,000"
	SellingGeneralAndAdministration,"196,000,000","64,000,000","51,000,000","46,000,000","35,000,000","27,000,000","23,000,000","23,000,000","55,000,000","89,000,000","78,000,000","96,000,000","83,000,000","82,000,000","80,000,000","103,000,000","82,000,000","80,000,000","80,000,000","95,000,000","84,000,000","84,000,000","82,000,000","93,000,000","84,000,000","81,000,000","72,000,000","89,000,000","82,000,000","135,000,000","17,000,000","95,000,000","84,000,000","90,000,000","77,000,000","103,000,000","74,000,000","-300,000,000","214,000,000","220,000,000","180,000,000","292,000,000","192,000,000","212,000,000","174,000,000","281,000,000","181,000,000","167,000,000","140,000,000","-530,000,000","410,000,000","425,000,000","130,000,000","-685,000,000","467,000,000","508,000,000","69,000,000","-686,000,000","474,000,000","86,000,000","66,000,000","117,000,000","71,000,000","79,000,000","55,000,000","13,000,000","50,000,000","59,000,000","48,000,000","111,000,000","30,000,000","39,000,000","32,000,000",,,"28,000,000","37,000,000","33,000,000","133,000,000","8,000,000","30,000,000","7,000,000","44,000,000","36,000,000","153,000,000","7,000,000",,"9,000,000","8,000,000","5,000,000","7,000,000",,"10,000,000","10,000,000","15,000,000","6,000,000",,"8,000,000","8,000,000","17,000,000","12,000,000","9,000,000","12,000,000","20,000,000","9,000,000","9,000,000","9,000,000","18,000,000","8,000,000","8,000,000","9,000,000","10,000,000","8,000,000","17,000,000","10,000,000",,,,
		GeneralAndAdministrativeExpense,"196,000,000","64,000,000","51,000,000","46,000,000","35,000,000","27,000,000","23,000,000","23,000,000","55,000,000","89,000,000","78,000,000","96,000,000","83,000,000","82,000,000","80,000,000","103,000,000","82,000,000","80,000,000","80,000,000","95,000,000","84,000,000","84,000,000","82,000,000","93,000,000","84,000,000","81,000,000","72,000,000","89,000,000","82,000,000","135,000,000","17,000,000","95,000,000","84,000,000","90,000,000","77,000,000","103,000,000","74,000,000","106,000,000",,,,,,,,,,,,,,,,,,,,,"380,000,000",,,,,,,,,,,,,,,,,,,,"133,000,000","8,000,000",,"7,000,000",,"36,000,000","153,000,000","7,000,000",,"9,000,000","8,000,000","5,000,000","7,000,000",,"10,000,000","10,000,000","15,000,000","6,000,000",,"8,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"18,000,000","5,000,000","4,000,000","5,000,000","4,000,000","6,000,000","4,000,000","4,000,000","3,000,000","4,000,000","4,000,000","3,000,000","4,000,000","3,000,000","4,000,000","4,000,000","3,000,000","3,000,000","6,000,000","2,000,000","3,000,000","4,000,000","2,000,000","3,000,000","3,000,000","2,000,000","1,000,000","3,000,000","5,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","8,000,000",,"7,000,000",,"13,000,000","8,000,000","7,000,000",,"9,000,000","8,000,000","5,000,000","7,000,000",,"10,000,000","10,000,000","15,000,000","6,000,000",,"8,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"178,000,000","59,000,000","47,000,000","41,000,000","31,000,000","21,000,000","19,000,000","19,000,000","52,000,000","85,000,000","74,000,000","93,000,000","79,000,000","79,000,000","76,000,000","99,000,000","79,000,000","77,000,000","74,000,000","93,000,000","81,000,000","80,000,000","80,000,000","90,000,000","81,000,000","79,000,000","71,000,000","86,000,000","77,000,000","113,000,000","17,000,000","95,000,000","84,000,000","90,000,000","77,000,000","103,000,000","74,000,000","106,000,000",,,,,,,,,,,,,,,,,,,,,"380,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
