name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001
TotalRevenue,"13,877,000,000","3,672,000,000","3,507,000,000","3,475,000,000","3,223,000,000","3,316,000,000","3,197,000,000","2,962,000,000","3,078,000,000","3,342,000,000","2,822,000,000","2,112,000,000","2,057,000,000","2,167,000,000","2,084,000,000","2,106,000,000","2,066,000,000","2,329,000,000","2,198,000,000","2,341,000,000","2,255,000,000","2,446,000,000","2,309,000,000","2,305,000,000","2,181,000,000","1,874,800,000","1,578,800,000","1,586,800,000","1,554,800,000","1,689,100,000","1,605,300,000","1,599,100,000","1,520,300,000","1,578,500,000","1,501,700,000","1,512,500,000","1,478,000,000","1,500,100,000","1,436,900,000","1,457,200,000","1,446,900,000","1,494,400,000","1,426,200,000","1,441,700,000","1,383,400,000","1,396,300,000","1,367,200,000","1,286,100,000","1,249,600,000","1,286,200,000","850,700,000","834,800,000","797,800,000","835,280,000","893,844,000","1,339,038,000","1,290,952,000","1,330,414,000","1,168,067,000","1,176,238,000","1,124,066,000","1,129,069,000","1,080,651,000","1,021,946,000","900,936,000","295,886,000","282,774,000","276,023,000","262,458,000","281,842,000","262,660,000","284,124,000","263,409,000","272,112,000","255,791,000","247,392,000","240,169,000","263,251,000","254,506,000","255,369,000","234,842,000","232,748,000","217,983,000","205,416,000"
	OperatingRevenue,"13,877,000,000","3,672,000,000","3,507,000,000","3,475,000,000","3,223,000,000","3,316,000,000","3,197,000,000","2,962,000,000","3,078,000,000","3,342,000,000","2,822,000,000","2,112,000,000","2,057,000,000","2,167,000,000","2,084,000,000","2,106,000,000","2,066,000,000","2,329,000,000","2,198,000,000","2,341,000,000","2,255,000,000","2,446,000,000","2,309,000,000","2,305,000,000","2,181,000,000","1,874,800,000","1,578,800,000","1,586,800,000","1,554,800,000","1,689,100,000","1,605,300,000","1,599,100,000","1,520,300,000","1,578,500,000","1,501,700,000","1,512,500,000","1,478,000,000","1,500,100,000","1,436,900,000","1,457,200,000","1,446,900,000","1,494,400,000","1,426,200,000","1,441,700,000","1,383,400,000","1,396,300,000","1,367,200,000","1,286,100,000","1,249,600,000","1,286,200,000","850,700,000","834,800,000","797,800,000","835,280,000","893,844,000","1,339,038,000","1,290,952,000","1,330,414,000","1,168,067,000","1,176,238,000","1,124,066,000","1,129,069,000","1,080,651,000","1,021,946,000","900,936,000","295,886,000","282,774,000","276,023,000","262,458,000","281,842,000","262,660,000","284,124,000","263,409,000","272,112,000","255,791,000","247,392,000","240,169,000","263,251,000","254,506,000","255,369,000","234,842,000","232,748,000","217,983,000","205,416,000"
CostOfRevenue,"8,682,000,000","2,251,000,000","2,178,000,000","2,135,000,000","2,118,000,000","2,110,000,000","2,104,000,000","2,046,000,000","2,089,000,000","1,987,000,000","1,838,000,000","1,404,000,000","1,381,000,000","1,377,000,000","1,364,000,000","1,414,000,000","1,414,000,000","1,504,000,000","1,483,000,000","1,612,000,000","1,582,000,000","1,553,000,000","1,527,000,000","1,600,000,000","1,553,000,000","1,232,600,000","1,021,300,000","1,069,000,000","1,070,300,000","1,117,200,000","1,075,100,000","1,092,800,000","1,050,000,000","1,054,800,000","994,600,000","1,028,200,000","1,008,000,000","1,007,500,000","968,800,000","981,100,000","1,010,300,000","1,010,200,000","984,300,000","1,007,500,000","996,000,000","956,800,000","897,300,000","912,200,000","907,200,000","1,000,200,000","600,500,000","602,700,000","594,300,000","652,605,000","661,995,000","962,964,000","928,555,000","931,788,000","838,912,000","842,946,000","813,316,000","814,932,000","772,580,000","719,718,000","622,337,000","202,826,000","201,997,000","196,466,000","190,292,000","192,663,000","186,142,000","209,564,000","198,293,000","193,472,000","182,256,000","180,977,000","176,057,000","183,264,000","179,132,000","188,936,000","179,108,000","163,166,000","150,651,000","144,479,000"
GrossProfit,"5,195,000,000","1,421,000,000","1,329,000,000","1,340,000,000","1,105,000,000","1,206,000,000","1,093,000,000","916,000,000","989,000,000","1,355,000,000","984,000,000","708,000,000","676,000,000","790,000,000","720,000,000","692,000,000","652,000,000","825,000,000","715,000,000","729,000,000","673,000,000","893,000,000","782,000,000","705,000,000","628,000,000","642,200,000","557,500,000","517,800,000","484,500,000","571,900,000","530,200,000","506,300,000","470,300,000","523,700,000","507,100,000","484,300,000","470,000,000","492,600,000","468,100,000","476,100,000","436,600,000","484,200,000","441,900,000","434,200,000","387,400,000","439,500,000","469,900,000","373,900,000","342,400,000","286,000,000","250,200,000","232,100,000","203,500,000","182,675,000","231,849,000","376,074,000","362,397,000","398,626,000","329,155,000","333,292,000","310,750,000","314,137,000","308,071,000","302,228,000","278,599,000","93,060,000","80,777,000","79,557,000","72,166,000","89,179,000","76,518,000","74,560,000","65,116,000","78,640,000","73,535,000","66,415,000","64,112,000","79,987,000","75,374,000","66,433,000","55,734,000","69,582,000","67,332,000","60,937,000"
OperatingExpense,"3,938,000,000","966,000,000","989,000,000","977,000,000","1,006,000,000","903,000,000","862,000,000","870,000,000","881,000,000","1,232,000,000","757,000,000","317,000,000","361,000,000","321,000,000","283,000,000","339,000,000","358,000,000","340,000,000","327,000,000","370,000,000","413,000,000","460,000,000","384,000,000","422,000,000","444,000,000","383,400,000","219,200,000","230,800,000","269,400,000","220,800,000","206,500,000","196,600,000","186,600,000","300,100,000","189,000,000","236,700,000","194,900,000","206,500,000","180,200,000","193,400,000","207,100,000","157,500,000","165,500,000","175,300,000","173,500,000","186,000,000","138,900,000","197,000,000","158,600,000","206,200,000","114,500,000","114,700,000","121,600,000","92,046,000","106,099,000","201,951,000","190,619,000","169,369,000","150,258,000","149,358,000","146,592,000","149,228,000","138,579,000","149,512,000","173,789,000","28,692,000","30,749,000","36,180,000","35,114,000","30,317,000","29,465,000","31,910,000","29,570,000","26,121,000","30,012,000","29,013,000","43,156,000","31,428,000","38,083,000","28,115,000","27,953,000","23,224,000","24,611,000","25,087,000"
	SellingGeneralAndAdministration,"3,938,000,000","966,000,000","989,000,000","977,000,000","1,006,000,000","903,000,000","862,000,000","870,000,000","881,000,000","1,232,000,000","757,000,000","317,000,000","361,000,000","321,000,000","283,000,000","339,000,000","358,000,000","340,000,000","327,000,000","370,000,000","413,000,000","460,000,000","384,000,000","422,000,000","444,000,000","383,400,000","219,200,000","230,800,000","269,400,000","220,800,000","206,500,000","196,600,000","186,600,000","300,100,000","189,000,000","236,700,000","194,900,000","206,500,000","180,200,000","193,400,000","207,100,000","157,500,000","165,500,000","175,300,000","173,500,000","186,000,000","138,900,000","197,000,000","158,600,000","272,600,000","92,200,000","93,200,000","99,000,000","80,554,000","79,944,000","175,384,000","163,551,000","140,208,000","123,802,000","125,770,000","119,483,000","121,209,000","112,724,000","125,866,000","145,729,000","28,692,000","30,749,000","36,180,000","35,114,000","30,317,000","29,465,000","31,910,000","29,570,000","38,324,000","30,012,000","29,450,000","30,516,000","28,563,000","28,718,000","28,115,000","27,953,000","23,224,000","24,611,000","25,087,000"
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,300,000","21,500,000","22,600,000","11,492,000","26,155,000","26,567,000","27,068,000","29,161,000","26,456,000","23,588,000","27,109,000","28,019,000","25,855,000","23,646,000","28,060,000",,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-437,000","12,640,000","2,865,000","9,365,000",,,,,
OperatingIncome,"1,257,000,000","455,000,000","340,000,000","363,000,000","99,000,000","303,000,000","231,000,000","46,000,000","108,000,000","123,000,000","227,000,000","391,000,000","315,000,000","469,000,000","437,000,000","353,000,000","294,000,000","485,000,000","388,000,000","359,000,000","260,000,000","433,000,000","398,000,000","283,000,000","184,000,000","258,800,000","338,300,000","287,000,000","215,100,000","351,100,000","323,700,000","309,700,000","283,700,000","223,600,000","318,100,000","247,600,000","275,100,000","286,100,000","287,900,000","282,700,000","229,500,000","326,700,000","276,400,000","258,900,000","213,900,000","253,500,000","331,000,000","176,900,000","183,800,000","79,800,000","135,700,000","117,400,000","81,900,000","90,629,000","125,750,000","174,123,000","171,778,000","229,257,000","178,897,000","183,934,000","164,158,000","164,909,000","169,492,000","152,716,000","104,810,000","64,368,000","50,028,000","43,377,000","37,052,000","58,862,000","47,053,000","42,650,000","35,546,000","52,519,000","43,523,000","37,402,000","20,956,000","48,559,000","37,291,000","38,318,000","27,781,000","46,358,000","42,721,000","35,850,000"
NetNonOperatingInterestIncomeExpense,"-214,000,000","-45,000,000","-46,000,000","-48,000,000","-74,000,000","-82,000,000","-84,000,000","-88,000,000","-80,000,000","-95,000,000","-95,000,000","-72,000,000","-75,000,000","-72,000,000","-80,000,000","-73,000,000","-72,000,000","-70,000,000","-84,000,000","-91,000,000","-93,000,000","-99,000,000","-98,000,000","-93,000,000","-93,000,000","-74,600,000","-35,600,000","-35,800,000","-37,400,000","-36,800,000","-37,700,000","-41,900,000","-41,100,000","-43,400,000","-43,700,000","-49,400,000","-51,700,000","-52,700,000","-54,000,000","-56,600,000","-59,400,000","-64,500,000","-60,500,000","-65,800,000","-68,000,000","-64,900,000","-60,900,000","-19,300,000","-28,300,000","-36,300,000","-31,800,000","-31,300,000","-31,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
