name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"14,720,000,000","3,997,000,000","3,752,000,000","3,401,000,000","3,570,000,000","3,741,000,000","3,588,000,000","3,491,000,000","3,987,000,000","4,133,000,000","4,474,000,000","4,245,000,000","4,318,000,000","4,397,000,000","4,269,000,000","3,800,000,000","3,917,000,000","3,978,000,000","3,952,000,000","3,694,000,000","3,680,000,000","3,713,000,000","3,565,000,000","3,295,000,000","3,301,000,000","3,295,000,000","3,187,000,000","3,027,000,000","2,976,000,000","3,140,000,000","2,975,000,000","2,832,000,000","2,858,000,000","2,979,000,000","2,817,000,000","2,632,000,000","2,643,000,000"
	OperatingRevenue,"14,720,000,000","3,997,000,000","3,752,000,000","3,401,000,000","3,570,000,000","3,741,000,000","3,588,000,000","3,491,000,000","3,987,000,000","4,133,000,000","4,474,000,000","4,245,000,000","4,318,000,000","4,397,000,000","4,269,000,000","3,800,000,000","3,917,000,000","3,978,000,000","3,952,000,000","3,694,000,000","3,680,000,000","3,713,000,000","3,565,000,000","3,295,000,000","3,301,000,000","3,295,000,000","3,187,000,000","3,027,000,000","2,976,000,000","3,140,000,000","2,975,000,000","2,832,000,000","2,858,000,000","2,979,000,000","2,817,000,000","2,632,000,000","2,643,000,000"
PretaxIncome,"5,503,000,000","1,047,000,000","1,500,000,000","1,641,000,000","1,315,000,000","944,000,000","412,000,000","59,000,000","382,000,000","921,000,000","1,375,000,000","1,129,000,000","1,462,000,000","1,012,000,000","893,000,000","892,000,000","847,000,000","875,000,000","879,000,000","788,000,000","782,000,000","908,000,000","963,000,000","771,000,000","928,000,000","868,000,000","919,000,000","861,000,000","883,000,000","853,000,000","879,000,000","764,000,000","890,000,000","692,000,000","1,021,000,000","856,000,000","573,000,000"
TaxProvision,"1,282,000,000","234,000,000","359,000,000","399,000,000","290,000,000","206,000,000","99,000,000","11,000,000","96,000,000","190,000,000","319,000,000","276,000,000","355,000,000","229,000,000","222,000,000","196,000,000","207,000,000","490,000,000","324,000,000","292,000,000","283,000,000","332,000,000","359,000,000","282,000,000","346,000,000","321,000,000","345,000,000","320,000,000","331,000,000","322,000,000","331,000,000","292,000,000","332,000,000","249,000,000","380,000,000","320,000,000","214,000,000"
NetIncomeCommonStockholders,"4,179,000,000","803,000,000","1,130,000,000","1,232,000,000","1,014,000,000","728,000,000","303,000,000","37,000,000","275,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","526,000,000","296,000,000","641,000,000","536,000,000","359,000,000"
	NetIncome,"4,221,000,000","813,000,000","1,141,000,000","1,242,000,000","1,025,000,000","738,000,000","313,000,000","48,000,000","286,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","558,000,000","443,000,000","641,000,000","536,000,000","359,000,000"
		NetIncomeIncludingNoncontrollingInterests,"4,221,000,000","813,000,000","1,141,000,000","1,242,000,000","1,025,000,000","738,000,000","313,000,000","48,000,000","286,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","558,000,000","443,000,000","641,000,000","536,000,000","359,000,000"
			NetIncomeContinuousOperations,"4,221,000,000","813,000,000","1,141,000,000","1,242,000,000","1,025,000,000","738,000,000","313,000,000","48,000,000","286,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","558,000,000","443,000,000","641,000,000","536,000,000","359,000,000"
	PreferredStockDividends,"42,000,000","10,000,000","11,000,000","10,000,000","11,000,000","10,000,000","10,000,000","11,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"42,000,000","10,000,000","11,000,000","10,000,000","11,000,000","10,000,000","10,000,000","11,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,"32,000,000",,,,
DilutedNIAvailtoComStockholders,"4,179,000,000","803,000,000","1,130,000,000","1,232,000,000","1,014,000,000","728,000,000","303,000,000","37,000,000","275,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","526,000,000","296,000,000","641,000,000","536,000,000","359,000,000"
BasicEPS,,"1.49","2.02","2.13","1.74","1.25","0.52","0.06","0.45","1.15","1.6","1.25","1.57","1.09","0.91","0.93","0.84","0.49","0.7","0.62","0.61","0.7","0.73","0.59","0.7","0.66","0.69","0.65","0.66","0.64","0.7","0.568","0.63",,"0.772","0.646","0.432"
DilutedEPS,,"1.48","2","2.12","1.73","1.24","0.52","0.06","0.45","1.15","1.6","1.24","1.56","1.09","0.91","0.92","0.83","0.49","0.7","0.61","0.61","0.7","0.73","0.58","0.7","0.65","0.69","0.65","0.66","0.64","0.7","0.568","0.63",,"0.771","0.645","0.432"
BasicAverageShares,,"537,800,000","560,600,000","577,200,000","583,300,000","583,900,000","583,800,000","583,700,000","604,900,000","633,700,000","658,300,000","683,600,000","706,300,000","718,700,000","734,900,000","752,200,000","763,700,000","778,700,000","787,300,000","804,000,000","813,100,000","820,500,000","828,400,000","833,900,000","833,800,000","833,800,000","833,800,000","833,800,000","833,800,000","833,800,000","782,000,000","830,270,833","830,271,000",,"830,271,000","830,271,000","830,271,000"
DilutedAverageShares,,"543,000,000","565,600,000","581,700,000","587,500,000","586,600,000","584,800,000","584,400,000","607,400,000","637,700,000","661,700,000","686,500,000","708,900,000","720,900,000","738,800,000","758,300,000","770,300,000","784,000,000","790,900,000","807,400,000","817,100,000","823,800,000","830,600,000","836,200,000","835,500,000","835,800,000","835,800,000","835,400,000","835,000,000","834,300,000","782,000,000","830,270,833","831,170,000",,"831,170,000","831,170,000","831,170,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"4,221,000,000","813,000,000","1,141,000,000","1,242,000,000","1,025,000,000","738,000,000","313,000,000","48,000,000","286,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","558,000,000","443,000,000","641,000,000","536,000,000","359,000,000"
NormalizedIncome,"4,221,000,000","813,000,000","1,141,000,000","1,242,000,000","1,025,000,000","738,000,000","313,000,000","48,000,000","286,000,000","731,000,000","1,056,000,000","853,000,000","1,107,000,000","783,000,000","671,000,000","696,000,000","640,000,000","385,000,000","555,000,000","496,000,000","499,000,000","576,000,000","604,000,000","489,000,000","582,000,000","547,000,000","574,000,000","541,000,000","552,000,000","531,000,000","548,000,000","472,000,000","558,000,000","443,000,000","641,000,000","536,000,000","359,000,000"
